cell,x,y,cell_type
C866,3462.36,895.55,HPC
C867,3498.62,6956.69,eL6
C868,3499.65,11358.04,Astro
C869,3490.29,6213.97,eL6
C870,3542.5,7948.57,SST
C871,3499.62,10936.75,eL4
C872,3514.61,11665.85,eL4
C873,3533.97,569.84,HPC
C874,3541.2,9881.45,eL6
C875,3541.95,14739.47,eL2_3
C876,3536.62,3982.39,Astro
C877,3548.17,12780.27,eL4
C878,3559.72,5454.92,eL6
C879,3514.6,6014.92,Endo
C880,3541.3,7684.73,Astro
C881,3572.64,10647.8,eL4
C882,3535.19,11214.7,Astro
C883,3541.82,14022.95,eL2_3
C884,3539.75,15375.3,eL2_3
C885,3550.81,3361.45,Oligo
C886,3572.52,5868.73,eL6
C887,3569.7,9551.61,Astro
C888,3567.83,993.09,HPC
C889,3583.81,6523.13,Oligo
C890,3574.35,14374.58,eL4
C891,3617.06,4076.63,Oligo
C892,3577.54,6658.42,eL6
C893,3578.32,1285.95,Astro
C894,3593.13,1633.25,HPC
C895,3603.08,10357.83,Astro
C896,3612.13,12087.05,eL4
C897,3603.29,13505.3,eL2_3
C898,3595.56,14170.47,Astro
C899,3624.41,1134.71,Endo
C900,3623.78,5243.01,eL6
C901,3609.89,6256.39,eL6
C902,3600.02,706.62,HPC
C903,3595.01,11925.45,eL2_3
C904,3648.25,15385.34,eL4
C905,3649.13,6064.62,Endo
C906,3633.08,11298.39,eL4
C907,3616.37,3092.53,SST
C908,3649.36,6368.94,eL6
C909,3635.97,13407.15,Micro
C910,3647.16,833.17,HPC
C911,3666.52,7271.06,eL6
C912,3649.96,11539.39,Oligo
C913,3652.86,11675.86,eL4
C914,3664.43,13628.16,eL2_3
C915,3664.62,14303.25,eL2_3
C916,3654.6,4287.04,Oligo
C917,3662.34,13163.04,eL2_3
C918,3676.66,7575.86,eL4
C919,3671.09,11125.43,eL2_3
C920,3668.87,13990.13,eL4
C921,3687.61,15812.57,eL2_3
C922,3686.71,966.54,HPC
C923,3681.3,10986.98,Endo
C924,3684.46,11422.62,eL4
C925,3691.76,621.02,HPC
C926,3678.02,4182.56,Oligo
C927,3685.8,5726.18,eL6
C928,3686.49,5967.82,eL6
C929,3698.96,6955.32,PVALB
C930,3679.44,9761.02,eL4
